Drone 1, DAC229_T1_CH3 ADC224_T0_CH0,
Drone 2, DAC229_T1_CH2 ADC224_T0_CH1,
Drone 3, DAC229_T1_CH1 ADC225_T1_CH0,
Drone 4, DAC229_T1_CH0 ADC225_T1_CH1,
